CNES,TPGESTAO,SGRUPHAB
2080931,M,1701
2080931,M,1707
2081253,D,1701
2081253,M,1706
2081458,D,1701
2081458,D,1707
2081458,M,1707
2081458,M,1723
2081482,E,1701
2081482,E,1707
2081482,E,1711
2081490,M,1707
2081512,M,1706
2081644,D,1701
2081644,M,1707
2081695,E,1701
2081695,E,1708
2082128,M,1701
2082128,M,1707
2082128,M,1708
2082128,M,1710
2082128,M,1715
2082128,M,1718
2082187,E,1701
2082187,E,1713
2082187,E,1717
2082187,E,1719
2082187,E,1720
2082187,E,1723
2082527,M,1701
2082527,M,1707
2082527,M,1708
2082527,M,1719
2082527,M,1720
2082594,M,1706
2082888,D,1706
2082888,M,1706
2083086,D,1702
2083086,D,1707
2083086,D,1708
2083086,D,1709
2083086,D,1713
2083086,E,1707
2083086,E,1708
2083086,E,1709
2083086,E,1713
2083086,E,1717
2083086,E,1719
2083086,E,1720
2083086,E,1722
2083086,E,1723
2083094,E,1706
2083094,E,1723
2083116,M,1701
2083116,M,1706
2083116,M,1708
2083116,M,1709
2083604,M,1701
2083604,M,1706
2084163,D,1714
2084163,E,1714
2084163,E,1723
2084228,M,1707
2084414,M,1701
2084414,M,1706
2084414,M,1709
2084414,M,1715
2084414,M,1723
2085194,M,1701
2085194,M,1706
2085194,M,1718
2085194,M,1723
2087057,D,1701
2087057,D,1707
2087057,D,1708
2087057,M,1707
2087057,M,1708
2087057,M,1723
2088576,D,1701
2088576,D,1708
2088576,E,1708
2088576,E,1718
2089327,E,1701
2089327,E,1706
2089327,E,1723
2089335,E,1715
2089696,M,1707
2089696,M,1711
2090236,D,1713
2090236,E,1702
2090236,E,1713
2090236,E,1717
2090236,E,1722
2090236,E,1723
2092298,E,1714
2092298,E,1721
2092298,M,1714
2096498,M,1705
2096498,M,1706
2096498,M,1707
2098911,M,1701
2098911,M,1706
2098938,M,1701
2098938,M,1706
2105780,M,1706
2105780,M,1723
2110075,M,1704
2110075,M,1715
2111640,M,1706
2111640,M,1707
2111640,M,1723
2118661,M,1706
2118661,M,1707
2118661,M,1708
2118661,M,1717
2118661,M,1723
2126494,M,1707
2126494,M,1723
2127989,D,1706
2127989,D,1707
2127989,D,1708
2127989,M,1706
2127989,M,1707
2127989,M,1708
2127989,M,1709
2127989,M,1718
2127989,M,1723
2129469,M,1701
2129469,M,1706
2129469,M,1718
2129469,M,1723
2146355,M,1701
2146355,M,1707
2146355,M,1708
2146355,M,1709
2146355,M,1714
2146355,M,1715
2146355,M,1716
2146355,M,1718
2146355,M,1723
2148293,M,1706
2148293,M,1707
2148293,M,1723
2149990,D,1707
2149990,M,1701
2149990,M,1707
2149990,M,1723
2153025,M,1701
2153025,M,1707
2153025,M,1708
2153025,M,1723
2153106,M,1702
2153106,M,1707
2153106,M,1708
2153106,M,1718
2153106,M,1723
2153114,M,1701
2153114,M,1707
2153114,M,1708
2153114,M,1723
2159252,M,1701
2159252,M,1707
2159252,M,1708
2159252,M,1717
2159252,M,1718
2159252,M,1723
2161354,M,1701
2161354,M,1706
2161354,M,1707
2161354,M,1723
2165058,M,1701
2165058,M,1707
2165058,M,1708
2165058,M,1718
2165058,M,1723
2171945,M,1706
2171945,M,1707
2171945,M,1708
2171945,M,1718
2171945,M,1723
2184834,M,1706
2184834,M,1723
2195453,D,1701
2195453,D,1712
2195453,D,1717
2195453,D,1722
2195453,D,1723
2196972,M,1707
2200457,M,1702
2200457,M,1712
2200457,M,1717
2200457,M,1723
2205440,M,1701
2205440,M,1707
2205440,M,1708
2205440,M,1709
2205440,M,1718
2205440,M,1723
2206528,M,1706
2206528,M,1707
2206528,M,1718
2206528,M,1723
2206595,M,1701
2206595,M,1706
2206595,M,1707
2206595,M,1708
2206595,M,1713
2206595,M,1723
2209195,M,1706
2215586,M,1706
2215586,M,1723
2219646,E,1707
2219646,E,1708
2219646,E,1718
2219646,M,1701
2219646,M,1707
2219646,M,1708
2219646,M,1718
2219646,M,1723
2223538,M,1701
2223538,M,1707
2223538,M,1708
2223538,M,1709
2223538,M,1718
2223538,M,1723
2223546,M,1705
2223546,M,1706
2223546,M,1707
2227932,E,1706
2227932,E,1723
2232014,M,1708
2232014,M,1723
